category_id,views,likes,dislikes,comment_count,likeratio,dislikeratio,commentratio
1,23316,699,160,217,0.029979413278435414,0.0068622405215302785,0.009306913707325441
1,101402,6304,249,863,0.062168399045383724,0.002455572868385239,0.008510680262716709
1,55554,52,7,69,0.0009360262087338443,0.00012600352809878678,0.0012420347769737552
1,44339,3038,499,361,0.0685175579061323,0.011254200590901915,0.008141816459550283
1,54031,227,35,72,0.00420129185097444,0.0006477762765819622,0.0013325683403971793
1,56884,751,78,77,0.013202306448210393,0.0013712115884958866,0.001353631952745939
1,30142,25,91,17,0.0008294074713025015,0.003019043195541105,0.000563997080485701
1,22000,78,11,10,0.003545454545454545,0.0005,0.0004545454545454546
1,14294,471,30,126,0.03295088848467888,0.0020987827060305023,0.00881488736532811
1,50269,4229,150,398,0.08412739461696075,0.0029839463685372696,0.007917404364518887
1,42381,128,26,12,0.003020221325594016,0.0006134824567612844,0.00028314574927443904
1,73050,5480,295,596,0.07501711156741958,0.004038329911019849,0.008158795345653662
1,20744,349,9,92,0.01682414192055534,0.00043386039336675675,0.004435017354415735
1,48210,1036,33,326,0.02148931756896909,0.0006845052893590543,0.006762082555486414
1,172364,2081,568,526,0.012073286765217794,0.0032953516975702587,0.003051681325566824
1,185303,14896,788,1143,0.08038725762669789,0.0042524945629590465,0.006168275742972321
1,93486,306,89,72,0.003273217380142481,0.0009520142053355584,0.0007701687953276426
1,65749,125,14,4,0.0019011695995376355,0.0002129309951482152,6.0837427185204345e-05
1,115838,2279,1667,810,0.01967402752119339,0.014390787133755762,0.0069925240421968606
1,8298,20,4,4,0.002410219329959026,0.00048204386599180526,0.00048204386599180526
1,11189,26,10,4,0.002323710787380463,0.0008937349182232551,0.000357493967289302
1,21570,82,18,7,0.0038015762633286975,0.0008344923504867872,0.0003245248029670839
1,102324,187,61,397,0.0018275282436183106,0.0005961455767952777,0.003879832688323365
1,42371,92,21,4,0.002171296405560407,0.0004956220056170494,9.440419154610463e-05
1,88416,5953,184,302,0.06732944263481723,0.0020810712993123413,0.0034156713716974305
1,24929,358,35,136,0.014360784628344498,0.0014039873240001605,0.0054554936018291955
1,115122,9630,431,522,0.08365038828373378,0.00374385434582443,0.004534320112576222
1,100379,311,85,75,0.003098257603682045,0.0008467906633857679,0.0007471682323992071
1,25518,41,41,6,0.0016067089897327375,0.0016067089897327375,0.00023512814483893726
1,54857,5030,328,293,0.09169294711704977,0.005979182237453744,0.005341159742603497
1,23036,88,19,12,0.0038201076575794407,0.0008247959715228338,0.0005209237714881057
1,343309,3025,1085,864,0.008811304102135395,0.0031604181655593066,0.00251668322123801
1,67141,9518,77,546,0.14176136786762186,0.001146840231751091,0.008132139825144099
1,43745,86,17,12,0.0019659389644530803,0.0003886158418104926,0.00027431706480740656
1,260722,18439,1057,1373,0.0707228388858631,0.004054126617623369,0.005266145549665928
1,2569,54,0,1,0.021019852082522383,0.0,0.0003892565200467108
1,11036,24,2,4,0.0021747009786154408,0.0001812250815512867,0.0003624501631025734
1,47925,858,79,109,0.01790297339593114,0.0016484089723526345,0.0022743870631194573
1,24302,320,39,98,0.013167640523413713,0.001604806188791046,0.004032589910295449
1,40451,89,27,8,0.0022001928258881115,0.0006674742280784159,0.000197770141652864
1,511595,39185,1723,4468,0.07659379000967563,0.003367898435285724,0.008733470811872673
1,158779,11215,326,384,0.07063276629781018,0.0020531682401325113,0.002418455841137682
1,177319,442,219,129,0.0024926826792391115,0.0012350622324736773,0.0007275024109091524
1,222471,14482,856,805,0.06509612488818768,0.003847692508237029,0.003618449146180851
1,19381,84,19,12,0.004334141685155565,0.00098034157164233,0.0006191630978793662
1,55431,3828,362,356,0.06905882989662825,0.00653064169868846,0.0064223990185997
1,290820,29236,457,1524,0.10052953717075856,0.001571418746991266,0.005240354858675468
1,38157,87,7,4,0.002280053463322589,0.000183452577508714,0.00010483004429069372
1,29390,58,38,20,0.0019734603606668933,0.0012929567880231368,0.0006805035726437564
1,68305,5825,401,318,0.08527926213307957,0.005870726886757925,0.00465558890271576
1,32774,1669,154,296,0.050924513333740165,0.004698846646732166,0.009031549398913772
1,40014,2410,168,322,0.060228919878042686,0.004198530514319988,0.008047183485779976
1,39383,218,13,18,0.0055353832872051395,0.00033009166391590285,0.0004570499961912501
1,41819,8209,17,436,0.19629833329347904,0.00040651378559984695,0.010425882971854898
1,41195,57,28,4,0.0013836630659060565,0.0006796941376380628,9.709916251972325e-05
1,54125,451,53,160,0.00833256351039261,0.0009792147806004618,0.002956120092378753
1,228283,13986,1106,1010,0.06126606010960081,0.004844863612270735,0.004424332955147777
1,91422,306,112,159,0.0033471155739318767,0.001225088053203824,0.0017391875041018574
1,44765,101,22,16,0.002256226963029152,0.0004914553780855579,0.0003574220931531331
1,210084,6446,447,557,0.03068296490927438,0.0021277203404352547,0.002651320424211268
1,720777,46234,2135,5419,0.06414466610338565,0.002962081198484413,0.007518275416668402
1,11768,255,7,6,0.021668932698844325,0.0005948334466349423,0.0005098572399728076
1,41203,85,29,7,0.002062956580831493,0.0007038322452248622,0.00016989054195082882
1,63603,5679,125,389,0.08928824112070186,0.001965316101441756,0.006116063707686744
1,139166,0,0,29,0.0,0.0,0.00020838423178075105
1,12597,42,7,8,0.003334127173136461,0.0005556878621894102,0.0006350718425021831
1,15755,124,2,17,0.007870517296096478,0.0001269438273563948,0.0010790225325293557
1,17099,32,10,0,0.001871454471021697,0.0005848295221942804,0.0
1,69695,7612,324,1070,0.10921873879044408,0.004648827032068298,0.015352607791089747
