likes,dislikes,views,comment_count,category_id
840.5,11.26,15843.81,26.34,10.0
2021.09,31.41,36474.01,376.29,10.0
251.53,15.97,7112.36,31.66,10.0
225.41,12.11,13217.88,41.58,10.0
616.97,12.41,6100.01,32.61,10.0
316.53,10.7,11543.6,29.9,10.0
504.35,6.72,18322.96,15.25,10.0
118.11,7.74,6542.73,8.0,10.0
3754.3,74.12,88427.95,305.77,10.0
125.73,3.98,2712.67,22.82,10.0
401.35,9.92,14736.13,43.11,10.0
212.97,78.32,11143.7,23.05,10.0
3066.08,97.6,165785.14,275.71,10.0
316.98,19.18,18353.11,44.7,10.0
846.12,11.38,16029.1,26.36,10.0
2027.81,31.55,36851.18,376.98,10.0
23.27,11.34,4097.14,4.43,10.0
252.03,15.98,7141.39,31.25,10.0
226.67,12.19,13338.93,41.65,10.0
622.02,12.44,6162.12,32.57,10.0
504.8,6.72,18370.52,15.04,10.0
119.53,7.76,6597.77,7.93,10.0
3765.65,74.32,89232.95,305.44,10.0
229.8,21.62,7683.53,38.45,10.0
425.87,11.29,16578.23,44.72,10.0
216.79,85.56,11611.5,20.15,10.0
3123.56,104.08,177604.49,280.26,10.0
318.17,19.2,18467.84,44.97,10.0
849.07,11.41,16138.86,26.36,10.0
2033.13,31.63,37175.29,378.04,10.0
23.41,11.39,4141.08,4.46,10.0
252.6,15.99,7168.0,31.27,10.0
14.84,3.74,4231.13,2.62,10.0
228.42,12.27,13451.55,42.02,10.0
627.95,12.48,6228.13,33.31,10.0
506.38,6.73,18513.72,15.09,10.0
120.61,7.76,6648.82,7.93,10.0
3776.23,74.64,90018.04,307.07,10.0
2783.5,23.35,98238.9,219.68,10.0
249.43,25.54,8733.45,40.47,10.0
439.02,11.99,17598.99,46.48,10.0
219.0,87.96,11848.46,20.26,10.0
3171.09,110.56,189684.06,280.47,10.0
319.21,19.22,18549.21,45.21,10.0
851.28,11.43,16228.39,26.15,10.0
2038.23,31.67,37491.89,378.76,10.0
23.48,11.43,4171.01,4.49,10.0
254.36,16.01,7237.98,31.23,10.0
14.94,3.81,4288.36,2.63,10.0
229.67,12.3,13543.84,42.3,10.0
631.85,12.53,6274.97,33.29,10.0
121.65,7.79,6690.04,8.04,10.0
3082.44,28.25,118610.5,241.62,10.0
262.29,27.07,9470.76,42.47,10.0
447.88,12.47,18282.43,47.38,10.0
220.54,88.84,12012.09,20.35,10.0
3214.56,116.33,201655.38,283.08,10.0
320.17,19.26,18625.04,45.29,10.0
853.23,11.43,16309.4,26.06,10.0
2044.92,31.83,37901.35,380.55,10.0
23.57,11.47,4194.0,4.5,10.0
255.63,16.03,7297.38,31.24,10.0
15.09,3.84,4335.15,2.64,10.0
230.61,12.35,13629.03,42.29,10.0
634.87,12.53,6315.54,32.98,10.0
119.32,3.48,3979.2,28.45,10.0
3263.73,31.5,133106.89,253.94,10.0
269.34,27.92,10004.58,43.32,10.0
453.26,12.7,18703.46,48.33,10.0
222.05,89.54,12163.28,20.53,10.0
3246.73,120.16,211376.15,284.38,10.0
321.27,19.28,18700.14,45.29,10.0
855.59,11.45,16396.79,26.07,10.0
2051.47,31.91,38292.66,382.43,10.0
256.5,16.04,7334.82,31.25,10.0
15.19,3.87,4377.64,2.64,10.0
231.79,12.54,13723.0,42.49,10.0
22.34,0.79,2265.97,2.39,10.0
43.99,2.01,1681.35,25.98,10.0
3401.13,33.64,143653.83,260.72,10.0
85.45,1.63,2377.97,9.25,10.0
277.29,28.66,10464.51,43.94,10.0
456.21,12.91,18971.47,49.34,10.0
223.12,90.25,12264.88,20.55,10.0
3267.85,123.39,218533.35,286.51,10.0
322.06,19.31,18752.12,45.43,10.0
857.88,11.45,16512.27,26.15,10.0
2058.2,32.03,38622.34,383.67,10.0
453.09,28.76,15307.96,59.99,10.0
30.15,1.33,3224.9,3.04,10.0
58.22,2.87,2186.21,35.43,10.0
3499.7,35.34,151757.62,240.91,10.0
88.45,1.72,2504.51,9.25,10.0
282.78,29.28,10800.78,44.71,10.0
459.16,13.05,19191.86,49.58,10.0
223.56,90.67,12339.34,20.61,10.0
3283.67,126.35,224782.82,287.77,10.0
859.08,11.49,16571.49,26.15,10.0
2063.78,32.1,38948.02,384.28,10.0
584.07,52.92,24005.11,79.22,10.0
300.13,5.23,9477.0,31.79,10.0
34.81,1.57,3850.65,3.21,10.0
415.15,13.53,8759.01,21.51,10.0
3565.42,36.62,157760.53,242.28,10.0
90.59,1.77,2593.4,9.34,10.0
287.48,29.61,11083.15,45.14,10.0
223.91,90.69,12381.21,20.63,10.0
3297.64,128.36,228912.2,288.92,10.0
860.47,11.49,16622.02,26.24,10.0
2068.34,32.18,39230.02,384.7,10.0
629.5,61.24,27480.65,84.18,10.0
314.35,6.04,10457.04,33.56,10.0
37.07,1.74,4179.64,3.86,10.0
878.92,18.54,39303.35,0.0,10.0
3609.88,37.58,162730.99,247.17,10.0
91.97,1.81,2655.9,9.34,10.0
291.19,29.87,11324.25,45.54,10.0
224.25,90.72,12411.26,20.63,10.0
3309.35,129.42,231424.64,289.42,10.0
861.68,11.5,16666.81,26.26,10.0
2071.97,32.23,39480.04,385.69,10.0
671.3,69.6,30966.15,89.71,10.0
322.64,6.43,11059.53,34.64,10.0
38.15,1.78,4379.17,4.03,10.0
916.06,19.51,41755.76,0.0,10.0
3656.37,38.79,168163.0,250.07,10.0
93.28,1.85,2727.41,9.35,10.0
293.99,30.01,11529.69,45.67,10.0
224.6,90.77,12438.08,20.57,10.0
3319.87,130.53,233887.92,290.2,10.0
862.71,11.54,16715.89,26.37,10.0
